OBJECTID,KOD_ZSJ_D,NAZ_ZSJ_D,Shape_Area_m2,Shape_Area_km2,Crimes,Crim.rate,Prop_crimes1,Prop_crimes_km2,Population
1,199681,?êern?í za Bory d?¡l 1,1390481.262,1.390481262,17,17.507724,0.330803658,12.22598281,971
2,199682,?êern?í za Bory d?¡l 2,16887.02539,0.016887025,0,0,0,0,14
3,199760,Drozdice,1270713.207,1.270713207,10,104.1666667,0.194590387,7.869596338,96
4,199840,Mn?¼tice,4668327.479,4.668327479,7,18.8172043,0.136213271,1.499466357,372
5,199920,Staro?¿ernsko,998341.0583,0.998341058,2,17.54385965,0.038918077,2.003323397,114
6,200010,?¢i?¥?¡n,676308.3301,0.67630833,0,0,0,0,43
7,322551,Dra?¥kovice d?¡l 1,3455936.51,3.45593651,12,22.77039848,0.233508465,3.472286011,527
8,322552,Dra?¥kovice d?¡l 2,13135.92231,0.013135922,1,1000,0.019459039,76.12712682,0
9,459930,Hostovice,4947862.14,4.94786214,2,7.117437722,0.038918077,0.404214981,281
10,790730,L?íny na D??lku,6173993.372,6.173993372,4,10.75268817,0.077836155,0.647878894,372
11,790810,Opo?¿?¡nek,3959735.826,3.959735826,2,8.888888889,0.038918077,0.5050842,225
12,1032410,Nemo?íice,4366921.544,4.366921544,7,6.433823529,0.136213271,1.602959872,1088
13,1093210,Ohrazenice,1191429.962,1.191429962,53,23.48249889,1.031329052,44.48436055,2257
14,1176501,Pardubice-Star?® M?¼sto d?¡l 1,85377.53053,0.085377531,49,18.24953445,0.953492897,573.9214923,2685
15,1176502,Pardubice-Star?® M?¼sto d?¡l 2,12418.04141,0.012418041,26,1444.444444,0.505935007,2093.727988,18
16,1176680,St?©ed,784964.5786,0.784964579,622,107.66834,12.10352209,792.3924425,5777
17,1176760,Zelen?® P?©edm?¼st?¡,1601723.902,1.601723902,975,139.3852752,18.97256276,608.7191424,6995
18,1176840,Zavadilka,700819.6855,0.700819686,42,191.7808219,0.817279626,59.92982338,219
19,1176920,Na spravedlnosti,162303.7945,0.162303794,10,125,0.194590387,61.61285423,80
20,1177060,Sk?©iv?ínek,403254.2214,0.403254221,243,63.62922231,4.72854641,602.5975361,3819
21,1177140,Dukla,833009.4843,0.833009484,191,42.98897142,3.716676396,229.2891061,4443
22,1177220,Vi?í??ovka,277805.098,0.277805098,273,95.89041096,5.312317572,982.7033484,2847
23,1177310,Jesni?¿?ínky,487636.2995,0.4876363,38,21.31239484,0.739443471,77.92693038,1783
24,1177490,Zborovsk?® n?ím?¼st?¡,146799.404,0.146799404,6,6000,0.116754232,40.87210054,0
25,1177570,Pod vinic?¡,227144.925,0.227144925,439,439000,8.542518,1932.686808,1
26,1177650,U kostel?¡?¿ka,545661.4236,0.545661424,133,62.88416076,2.58805215,243.7408879,2115
27,1177730,Na Spo?©ilov?¼,506475.9033,0.506475903,21,8.857022353,0.408639813,41.46297953,2371
28,1177810,Na Dr?í?¥ce-z?ípad,216743.6985,0.216743699,37,18.12836845,0.719984433,170.7085381,2041
29,1177900,V?¼znice,89894.51122,0.089894511,0,0,0,0,0
30,1178030,Stud?ínka,420742.9495,0.420742949,24,17.35357918,0.467016929,57.04195414,1383
31,1178110,Pardubi?¿ky-pr??myslov?¢ obvod,1779403.27,1.77940327,5,161.2903226,0.097295194,2.80993077,31
32,1178200,Pardubi?¿ky,1247745.614,1.247745614,71,46.13385315,1.381591749,56.90262438,1539
33,1178380,Nemocnice,184146.9313,0.184146931,96,96000,1.868067717,521.3228343,0
34,1178460,Pipenec,922351.9565,0.922351956,4,1000,0.077836155,4.336739326,4
35,1178620,S?¡dli?ít?¼ Dubina,564274.1153,0.564274115,193,21.92683481,3.755594474,342.0323472,8802
36,1178710,Velk?¢ les u Sezemic,2295725.457,2.295725457,7,1166.666667,0.136213271,3.049145088,6
37,1178890,H??rka,211462.6105,0.21146261,8,8000,0.15567231,37.83174718,0
38,1178970,Osada H??rka,701013.6666,0.701013667,1,24.3902439,0.019459039,1.426505712,41
39,1179010,Horn?¡ polabina,853945.3219,0.853945322,0,0,0,0,0
40,1179190,Le?¥?ínka,191729.6577,0.191729658,3,14.85148515,0.058377116,15.64703151,202
41,1179270,Na slep?¢ch ramenech,976487.4634,0.976487463,1,26.31578947,0.019459039,1.024078688,38
42,1179350,Cihelna,173698.3184,0.173698318,1,3.649635036,0.019459039,5.757108137,274
43,1179430,F?íblovka-sever,346208.7628,0.346208763,1,1000,0.019459039,2.888430643,1
44,1179510,Trnov?í,401732.2319,0.401732232,37,29.2721519,0.719984433,92.10114861,1264
45,1179600,Polabiny II,277533.2431,0.277533243,100,29.06976744,1.945903872,360.3171963,3440
46,1179780,Polabiny I,251663.9188,0.251663919,125,47.02784048,2.43237984,496.6941646,2658
47,1179860,Stava?©ov,362057.183,0.362057183,79,159.5959596,1.537264059,218.1975768,495
48,1179940,Polabiny III,294352.8124,0.294352812,130,33.70495204,2.529675034,441.6468765,3857
49,1180010,Polabiny IV,387471.0344,0.387471034,56,15.92718999,1.089706169,144.5269326,3516
50,1180100,Prutina,461420.2832,0.461420283,3,3000,0.058377116,6.501664774,0
51,1180280,Zadn?¡ polabina,2574432.885,2.574432885,12,126.3157895,0.233508465,4.661220757,95
52,1180360,Sv?¡tkov,1416413.353,1.416413353,71,21.13724323,1.381591749,50.12661018,3359
53,1180440,Sv?¡tkov-pr??myslov?¢ obvod,372781.0958,0.372781096,17,17000,0.330803658,45.60317082,0
54,1180520,Z?ívodi?ít?¼,552920.5868,0.552920587,5,5000,0.097295194,9.042889915,0
55,1180610,Za z?ívodi?ít?¼m,2290918.147,2.290918147,6,6000,0.116754232,2.619037266,0
56,1180790,Zelenobransk?í dubina,383121.1112,0.383121111,2,60.60606061,0.038918077,5.220281375,33
57,1180871,Nov?® Jesen?¿any d?¡l 1,402442.8677,0.402442868,40,70.29876977,0.778361549,99.39299011,569
58,1180872,Nov?® Jesen?¿any d?¡l 2,3032.729899,0.00303273,4,4000,0.077836155,1318.943658,0
59,1412080,Rosice,1916089.188,1.916089188,23,15.06221349,0.447557891,12.00361661,1527
60,1412161,Semt?¡n-jih d?¡l 1,2003133.861,2.003133861,0,0,0,0,0
61,1412162,Semt?¡n-jih d?¡l 2,163903.1793,0.163903179,0,0,0,0,0
62,1473710,Doubravice,1193946.046,1.193946046,5,19.37984496,0.097295194,4.187793926,258
